questionaire_uuid;wm_config;responses_comment;wm_id;wm_testId;responses_stimulus;responses_score;wm_type;wm_date;responses_time
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C1_2;39;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C4_1;9;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C4_2;81;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C3_1;20;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C3_2;72;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C2_1;17;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;C2_2;70;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;reference_1;18;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_1;mushra_noloop_nowav;reference_2;82;mushra;2025-04-30 13:28:45.610498;57942
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C4_1;100;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C4_2;79;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C1_1;100;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C1_2;56;mushra;2025-04-30 13:28:45.610498;54984
2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;configs/mushra_noloop_nowav.yaml;;japanese_test_2;mushra_noloop_nowav;C2_1;16;mushra;2025-04-30 13:28:45.610498;54984
