responses_comment;wm_id;wm_config;responses_score;responses_time;wm_testId;wm_date;questionaire_uuid;wm_type;responses_stimulus
;japanese_test_1;configs/mushra_noloop_nowav.yaml;39;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_2
;japanese_test_1;configs/mushra_noloop_nowav.yaml;9;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_1
;japanese_test_1;configs/mushra_noloop_nowav.yaml;81;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_2
;japanese_test_1;configs/mushra_noloop_nowav.yaml;20;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_1
;japanese_test_1;configs/mushra_noloop_nowav.yaml;72;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_2
;japanese_test_1;configs/mushra_noloop_nowav.yaml;17;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_1
;japanese_test_1;configs/mushra_noloop_nowav.yaml;70;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_2
;japanese_test_1;configs/mushra_noloop_nowav.yaml;18;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_1
;japanese_test_1;configs/mushra_noloop_nowav.yaml;82;57942;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;100;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;79;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;100;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;56;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;16;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;62;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;16;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C5_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;82;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C5_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;100;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;84;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_2
;japanese_test_2;configs/mushra_noloop_nowav.yaml;97;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_1
;japanese_test_2;configs/mushra_noloop_nowav.yaml;33;54984;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_2
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;15;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_1
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;76;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_2
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;100;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_1
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;80;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_2
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;15;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_1
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;37;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_2
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;100;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_1
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;33;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_2
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;100;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_1
;mandarin_test_1;configs/mushra_noloop_nowav.yaml;100;58370;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_2
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;100;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_1
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;79;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C4_2
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;100;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_1
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;78;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_2
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;30;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_1
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;100;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_2
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;70;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_1
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;92;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_2
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;100;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_1
;mandarin_test_2;configs/mushra_noloop_nowav.yaml;60;53852;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;reference_2
;cantonese_test_1;configs/mushra_noloop_nowav.yaml;100;86138;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_1
;cantonese_test_1;configs/mushra_noloop_nowav.yaml;22;86138;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C2_2
;cantonese_test_1;configs/mushra_noloop_nowav.yaml;20;86138;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_1
;cantonese_test_1;configs/mushra_noloop_nowav.yaml;71;86138;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C3_2
;cantonese_test_1;configs/mushra_noloop_nowav.yaml;22;86138;mushra_noloop_nowav;2025-04-30 13:28:45.610498;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;mushra;C1_1
