wm_date;wm_id;wm_config;wm_testId;questionaire_uuid;responses_stimulus;responses_time;wm_type;responses_score;responses_comment
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_2;57942;mushra;39;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_1;57942;mushra;9;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_2;57942;mushra;81;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_1;57942;mushra;20;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_2;57942;mushra;72;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_1;57942;mushra;17;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_2;57942;mushra;70;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_1;57942;mushra;18;
2025-04-30 13:28:45.610498;japanese_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_2;57942;mushra;82;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_1;54984;mushra;100;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_2;54984;mushra;79;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_1;54984;mushra;100;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C1_2;54984;mushra;56;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_1;54984;mushra;16;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C2_2;54984;mushra;62;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C5_1;54984;mushra;16;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C5_2;54984;mushra;82;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_1;54984;mushra;100;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C3_2;54984;mushra;84;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_1;54984;mushra;97;
2025-04-30 13:28:45.610498;japanese_test_2;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;reference_2;54984;mushra;33;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_1;58370;mushra;15;
2025-04-30 13:28:45.610498;mandarin_test_1;configs/mushra_noloop_nowav.yaml;mushra_noloop_nowav;2560336e-cc15-4a9e-b2d1-6f97bf19b2a7;C4_2;58370;mushra;76;
